Plot Title: LUXabajo_04,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801154, SEN S/N: 10801154, LBL: Blue)","Intensity, Lux (LGR S/N: 10801154, SEN S/N: 10801154)",Coupler Attached (LGR S/N: 10801154),Host Connected (LGR S/N: 10801154),Stopped (LGR S/N: 10801154),End Of File (LGR S/N: 10801154)
1,6/9/2021 12:00,18.901,44089.2,,,,
2,6/9/2021 12:15,20.138,893.4,,,,
3,6/9/2021 12:30,24.062,753.5,,,,
4,6/9/2021 12:45,24.351,387.5,,,,
5,6/9/2021 13:00,27.468,333.7,,,,
6,6/9/2021 13:15,28.655,3272.2,,,,
7,6/9/2021 13:30,9.768,322.9,,,,
8,6/9/2021 13:45,10.259,10333.4,,,,
9,6/9/2021 14:00,10.357,11022.3,,,,
10,6/9/2021 14:15,10.553,10333.4,,,,
11,6/9/2021 14:30,10.553,5166.7,,,,
12,6/9/2021 14:45,10.553,3788.9,,,,
13,6/9/2021 15:00,10.553,2755.6,,,,
14,6/9/2021 15:15,10.651,5166.7,,,,
15,6/9/2021 15:30,10.748,4305.6,,,,
16,6/9/2021 15:45,10.748,2927.8,,,,
17,6/9/2021 16:00,10.651,2755.6,,,,
18,6/9/2021 16:15,10.651,4477.8,,,,
19,6/9/2021 16:30,10.553,1722.2,,,,
20,6/9/2021 16:45,10.455,1130.2,,,,
21,6/9/2021 17:00,10.357,861.1,,,,
22,6/9/2021 17:15,10.259,635.1,,,,
23,6/9/2021 17:30,10.063,279.9,,,,
24,6/9/2021 17:45,9.866,366,,,,
25,6/9/2021 18:00,9.768,53.8,,,,
26,6/9/2021 18:15,9.571,10.8,,,,
27,6/9/2021 18:30,9.373,0,,,,
28,6/9/2021 18:45,9.176,0,,,,
29,6/9/2021 19:00,8.978,0,,,,
30,6/9/2021 19:15,8.879,0,,,,
31,6/9/2021 19:30,8.68,0,,,,
32,6/9/2021 19:45,8.481,0,,,,
33,6/9/2021 20:00,8.382,0,,,,
34,6/9/2021 20:15,8.282,0,,,,
35,6/9/2021 20:30,8.182,0,,,,
36,6/9/2021 20:45,7.983,0,,,,
37,6/9/2021 21:00,7.882,0,,,,
38,6/9/2021 21:15,7.882,0,,,,
39,6/9/2021 21:30,7.782,0,,,,
40,6/9/2021 21:45,7.682,0,,,,
41,6/9/2021 22:00,7.582,0,,,,
42,6/9/2021 22:15,7.582,0,,,,
43,6/9/2021 22:30,7.481,0,,,,
44,6/9/2021 22:45,7.481,0,,,,
45,6/9/2021 23:00,7.381,0,,,,
46,6/9/2021 23:15,7.381,0,,,,
47,6/9/2021 23:30,7.381,0,,,,
48,6/9/2021 23:45,7.381,0,,,,
49,6/10/2021 0:00,7.28,0,,,,
50,6/10/2021 0:15,7.28,0,,,,
51,6/10/2021 0:30,7.28,0,,,,
52,6/10/2021 0:45,7.28,0,,,,
53,6/10/2021 1:00,7.28,0,,,,
54,6/10/2021 1:15,7.179,0,,,,
55,6/10/2021 1:30,7.179,0,,,,
56,6/10/2021 1:45,7.179,0,,,,
57,6/10/2021 2:00,7.079,0,,,,
58,6/10/2021 2:15,7.079,0,,,,
59,6/10/2021 2:30,7.079,0,,,,
60,6/10/2021 2:45,6.978,0,,,,
61,6/10/2021 3:00,6.978,0,,,,
62,6/10/2021 3:15,6.877,0,,,,
63,6/10/2021 3:30,6.877,0,,,,
64,6/10/2021 3:45,6.877,0,,,,
65,6/10/2021 4:00,6.877,0,,,,
66,6/10/2021 4:15,6.775,0,,,,
67,6/10/2021 4:30,6.775,0,,,,
68,6/10/2021 4:45,6.775,0,,,,
69,6/10/2021 5:00,6.775,0,,,,
70,6/10/2021 5:15,6.775,0,,,,
71,6/10/2021 5:30,6.775,0,,,,
72,6/10/2021 5:45,6.775,0,,,,
73,6/10/2021 6:00,6.674,0,,,,
74,6/10/2021 6:15,6.674,10.8,,,,
75,6/10/2021 6:30,6.674,193.8,,,,
76,6/10/2021 6:45,6.674,118.4,,,,
77,6/10/2021 7:00,6.674,129.2,,,,
78,6/10/2021 7:15,6.674,150.7,,,,
79,6/10/2021 7:30,6.674,193.8,,,,
80,6/10/2021 7:45,6.674,333.7,,,,
81,6/10/2021 8:00,6.674,1894.5,,,,
82,6/10/2021 8:15,6.877,3444.5,,,,
83,6/10/2021 8:30,6.978,3788.9,,,,
84,6/10/2021 8:45,7.179,3616.7,,,,
85,6/10/2021 9:00,7.28,2755.6,,,,
86,6/10/2021 9:15,7.481,1980.6,,,,
87,6/10/2021 9:30,7.682,3444.5,,,,
88,6/10/2021 9:45,7.882,1980.6,,,,
